iter	Passed	Remaining
494	21503	4322614
495	21544	4322082
496	21592	4323016
497	21633	4322430
498	21682	4323434
499	21722	4322712
500	21770	4323726
501	21813	4323591
502	21859	4323954
503	21897	4322762
504	21947	4324013
505	21986	4323137
506	22035	4324175
507	22076	4323646
508	22122	4324131
509	22159	4322893
510	22207	4323604
511	22247	4322937
512	22298	4324297
513	22344	4324777
514	22397	4326658
515	22440	4326451
516	22491	4327913
517	22533	4327524
518	22580	4328248
519	22628	4329032
520	22682	4330940
521	22725	4330833
522	22774	4331829
523	22817	4331670
524	22872	4333822
525	22918	4334116
526	22966	4335015
527	23005	4334045
528	23053	4334935
529	23094	4334316
530	23148	4336320
531	23189	4335770
532	23238	4336631
533	23279	4336215
534	23329	4337383
535	23369	4336686
536	23417	4337351
537	23457	4336752
538	23507	4337865
539	23550	4337574
540	23598	4338342
541	23637	4337524
542	23684	4338142
543	23722	4337020
544	23773	4338262
545	23815	4337977
546	23872	4340418
547	23916	4340439
548	23965	4341394
549	24008	4341135
550	24062	4342996
551	24110	4343693
552	24159	4344677
553	24199	4343883
554	24247	4344630
555	24289	4344283
556	24341	4345687
557	24385	4345787
558	24434	4346607
559	24475	4346073
560	24524	4347005
561	24567	4346929
562	24614	4347415
563	24657	4347232
564	24708	4348398
565	24746	4347443
566	24793	4348019
567	24839	4348249
568	24886	4348897
569	24924	4347712
570	24971	4348261
571	25007	4346962
572	25052	4347179
573	25089	4345935
574	25135	4346239
575	25171	4344953
576	25216	4344984
577	25253	4343860
578	25299	4344236
579	25337	4343118
580	25383	4343538
581	25420	4342338
582	25464	4342371
583	25503	4341473
584	25547	4341526
585	25585	4340499
586	25630	4340737
587	25667	4339543
588	25712	4339811
589	25751	4338890
590	25797	4339248
591	25835	4338318
592	25884	4339054
593	25920	4337877
594	25968	4338497
595	26005	4337315
596	26052	4337811
597	26089	4336649
598	26135	4337009
599	26176	4336518
600	26222	4336955
601	26258	4335596
602	26304	4336007
603	26344	4335406
604	26394	4336346
605	26433	4335565
606	26480	4336093
607	26520	4335380
608	26571	4336516
609	26609	4335662
610	26654	4335801
611	26692	4334749
612	26737	4335026
613	26773	4333786
614	26819	4334030
615	26855	4332862
616	26903	4333431
617	26938	4332079
618	26982	4332126
619	27017	4330627
620	27063	4331037
621	27102	4330157
622	27146	4330213
623	27184	4329318
624	27232	4329923
625	27269	4328894
626	27316	4329424
627	27352	4328171
628	27399	4328595
629	27437	4327663
630	27481	4327709
631	27519	4326813
632	27566	4327340
633	27604	4326495
634	27650	4326718
635	27684	4325283
636	27728	4325263
637	27767	4324535
638	27813	4324874
639	27850	4323770
640	27895	4324028
641	27934	4323207
642	27978	4323253
643	28014	4322091
644	28059	4322296
645	28099	4321718
646	28145	4322071
647	28184	4321323
648	28229	4321465
649	28266	4320464
650	28311	4320626
651	28349	4319673
652	28393	4319748
653	28429	4318586
654	28473	4318699
655	28510	4317662
656	28557	4318099
657	28597	4317484
658	28644	4318030
659	28681	4316935
660	28725	4317025
661	28762	4315986
662	28807	4316251
663	28846	4315504
664	28891	4315724
665	28928	4314762
666	28974	4315027
667	29011	4314087
668	29059	4314617
669	29096	4313679
670	29141	4313892
671	29178	4312806
672	29227	4313658
673	29265	4312788
674	29311	4313125
675	29347	4312000
676	29393	4312305
677	29432	4311601
678	29478	4312011
679	29516	4311106
680	29561	4311389
681	29598	4310366
682	29644	4310625
683	29679	4309472
684	29723	4309500
685	29760	4308574
686	29803	4308442
687	29841	4307634
688	29887	4307972
689	29923	4306754
690	29970	4307321
691	30005	4306064
692	30050	4306185
693	30087	4305357
694	30129	4304986
695	30166	4304079
696	30212	4304403
697	30249	4303465
698	30293	4303549
699	30329	4302524
700	30375	4302732
701	30410	4301600
702	30455	4301729
703	30491	4300655
704	30536	4300910
705	30573	4299881
706	30617	4300025
707	30654	4299081
708	30700	4299439
709	30737	4298537
710	30781	4298517
711	30819	4297746
712	30867	4298372
713	30904	4297500
714	30952	4298095
715	30990	4297287
716	31036	4297592
717	31072	4296621
718	31117	4296771
719	31154	4295820
720	31197	4295825
721	31235	4294986
722	31281	4295395
723	31317	4294253
724	31365	4294939
725	31405	4294450
726	31451	4294695
727	31487	4293701
728	31532	4293927
729	31568	4292846
730	31614	4293196
731	31653	4292534
732	31698	4292736
733	31734	4291785
734	31780	4292033
735	31816	4291086
736	31861	4291286
737	31897	4290303
738	31940	4290240
739	31980	4289730
740	32024	4289794
741	32060	4288732
742	32107	4289161
743	32147	4288760
744	32191	4288864
745	32229	4288016
746	32277	4288719
747	32316	4288024
748	32363	4288553
749	32398	4287373
750	32443	4287539
751	32481	4286873
752	32525	4286982
753	32562	4286133
754	32605	4286036
755	32640	4284925
756	32685	4285022
757	32721	4284051
758	32769	4284641
759	32808	4284102
760	32855	4284595
761	32890	4283437
762	32935	4283706
763	32972	4282783
764	33018	4283132
765	33054	4282193
766	33098	4282276
767	33135	4281331
768	33178	4281312
769	33215	4280510
770	33260	4280624
771	33299	4280132
772	33345	4280471
773	33384	4279834
774	33427	4279757
775	33465	4279090
776	33511	4279364
777	33548	4278635
778	33593	4278735
779	33631	4278052
780	33676	4278270
781	33713	4277518
